"CN_ID","SQ_SQUARE"
1,"SV90"
1,"SV91"
1,"SW42"
1,"SW52"
1,"SW53"
1,"SW54"
1,"SW63"
1,"SW64"
1,"SW72"
1,"SW73"
1,"SW76"
1,"SW83"
1,"SW84"
1,"SW86"
1,"SW93"
1,"SW95"
1,"SW96"
1,"SX04"
1,"SX06"
1,"SX08"
1,"SX15"
1,"SX16"
1,"SX18"
1,"SX19"
1,"SS10"
1,"SX25"
1,"SX27"
1,"SS20"
1,"SS21"
1,"SX35"
1,"SX36"
1,"SX39"
1,"SS30"
1,"SS32"
1,"SX45"
1,"SX47"
1,"SS40"
1,"SS41"
1,"SS43"
1,"SS44"
1,"SX54"
1,"SX58"
1,"SX59"
1,"SS51"
1,"SS53"
1,"SS54"
1,"SX67"
1,"SX68"
1,"SS60"
1,"SS62"
1,"SS63"
1,"SX74"
1,"SX75"
1,"SX78"
1,"SS71"
1,"SS73"
1,"SS74"
1,"SX83"
1,"SX86"
1,"SX89"
1,"SS81"
1,"SS82"
1,"SS83"
1,"SX95"
1,"SX96"
1,"SX98"
1,"SS91"
1,"SS93"
1,"SS94"
1,"NX91"
1,"NX93"
1,"SY07"
1,"ST03"
1,"SD08"
1,"NY00"
1,"NY02"
1,"NY03"
1,"NY05"
1,"SY19"
1,"ST11"
1,"ST12"
1,"ST13"
1,"SD18"
1,"NY11"
1,"NY12"
1,"NY15"
1,"SY29"
1,"ST20"
1,"ST23"
1,"ST25"
2,"SO24"
1,"SO24"
2,"SJ22"
1,"SJ22"
1,"SJ29"
1,"SD23"
1,"SD26"
1,"SD28"
1,"NY20"
1,"NY23"
1,"NY24"
1,"NY25"
1,"ST30"
1,"ST31"
1,"ST33"
1,"ST34"
1,"SO35"
2,"SO36"
1,"SO36"
2,"SO39"
1,"SO39"
2,"SJ31"
1,"SJ31"
1,"SJ32"
1,"SJ38"
1,"SJ39"
1,"SD30"
1,"SD32"
1,"ST84"
1,"ST87"
1,"ST88"
1,"ST89"
1,"SO83"
1,"SO85"
1,"SO87"
1,"SO88"
1,"SJ82"
1,"SJ84"
1,"SJ86"
1,"SJ88"
1,"SJ89"
1,"SD82"
1,"SD83"
1,"SD84"
1,"SD86"
1,"SD88"
1,"NY82"
1,"NY83"
1,"NY84"
1,"NY89"
1,"NT80"
1,"SY97"
1,"SY98"
1,"SY99"
1,"ST92"
1,"ST94"
1,"ST95"
1,"ST97"
1,"SO90"
1,"SO92"
1,"SO93"
1,"SO95"
1,"SO96"
1,"SO98"
1,"SO99"
1,"SJ90"
1,"SJ94"
1,"SJ96"
1,"SJ97"
1,"SJ99"
1,"SD90"
1,"SD95"
1,"SD99"
1,"NY90"
1,"NY91"
1,"NY94"
1,"NY95"
1,"NY96"
1,"NY98"
1,"NY99"
1,"NT91"
1,"NT92"
1,"SU00"
1,"SU03"
1,"SU04"
1,"SU05"
1,"SU07"
1,"SU08"
1,"SU09"
1,"SP01"
1,"SP02"
1,"SK00"
1,"SK02"
1,"SK03"
1,"SK04"
1,"SK07"
1,"SK08"
1,"SE01"
1,"SE02"
1,"SE03"
1,"SE05"
1,"SE07"
1,"SE08"
1,"NZ01"
1,"NZ02"
1,"NZ03"
1,"NZ05"
1,"NZ08"
1,"NU00"
1,"NU01"
1,"NU02"
1,"NU04"
1,"NU05"
1,"SU13"
1,"SU14"
1,"SU15"
1,"SU19"
1,"SP10"
1,"SP12"
1,"SP13"
1,"SP15"
1,"SP17"
1,"SP18"
1,"SK14"
1,"SK15"
1,"SK17"
1,"SK18"
1,"SE10"
1,"SE13"
1,"SE14"
1,"SE16"
1,"SE18"
1,"NZ10"
1,"NZ12"
1,"NZ15"
1,"NZ18"
1,"NZ19"
1,"NU13"
1,"NU14"
1,"SZ28"
1,"SU22"
1,"SU24"
1,"SU26"
1,"SU27"
1,"SU28"
1,"SP20"
1,"SP22"
1,"SP25"
1,"SP28"
1,"SP29"
1,"SK21"
1,"SK22"
1,"SK23"
1,"SK26"
1,"SK28"
1,"SE22"
1,"SE23"
1,"SE27"
1,"SE28"
1,"NZ21"
1,"NZ23"
1,"NZ25"
1,"NZ26"
1,"NZ27"
1,"NU20"
1,"NU21"
1,"NU23"
1,"SZ39"
1,"SU30"
1,"SU32"
1,"SU34"
1,"SU35"
1,"SU39"
1,"SP30"
1,"SP34"
1,"SP35"
1,"SK30"
1,"SK31"
1,"SK33"
1,"SK35"
1,"SK36"
1,"SK38"
1,"SK39"
1,"SE31"
1,"SE33"
1,"SE34"
1,"SE38"
1,"SE39"
1,"NZ30"
1,"NZ32"
1,"NZ33"
1,"NZ35"
1,"NZ37"
1,"NZ38"
1,"SU41"
1,"SU42"
1,"SU45"
1,"SU47"
1,"SU49"
1,"SP41"
1,"SP43"
1,"SP44"
1,"SP48"
1,"SP49"
1,"SK41"
1,"SK43"
1,"SK44"
1,"SK46"
1,"SE40"
1,"SE44"
1,"SE46"
1,"SE47"
1,"SE49"
1,"NZ40"
1,"NZ43"
1,"NZ44"
1,"SZ57"
1,"SZ58"
1,"SZ59"
1,"SU51"
1,"SU54"
1,"SU56"
1,"SU59"
1,"SP50"
1,"SP52"
1,"SP53"
1,"SP56"
1,"SP59"
1,"SK51"
1,"SK52"
1,"SK53"
1,"SK55"
1,"SK57"
1,"SK58"
1,"SE51"
1,"SE55"
1,"SE56"
1,"SE58"
1,"NZ50"
1,"NZ52"
1,"SZ68"
1,"SU60"
1,"SU61"
1,"SU65"
1,"SU68"
1,"SP60"
1,"SP62"
1,"SP63"
1,"SP65"
1,"SP66"
1,"SP67"
1,"SP69"
1,"SK61"
1,"SK65"
1,"SK67"
1,"SK69"
1,"SE60"
1,"SE62"
1,"SE64"
1,"SE67"
1,"NZ60"
1,"NZ61"
1,"SZ79"
1,"SU70"
1,"SU71"
1,"SU74"
1,"SU75"
1,"SU76"
1,"SP70"
1,"SP72"
1,"SP73"
1,"SP75"
1,"SP76"
1,"SP79"
1,"SK70"
1,"SK73"
1,"SK74"
1,"SK75"
1,"SK78"
1,"SE70"
1,"SE72"
1,"SE74"
1,"SE75"
1,"NZ70"
1,"NZ72"
1,"SZ89"
1,"SU82"
1,"SU83"
1,"SU85"
1,"SU88"
1,"SU89"
1,"SP81"
1,"SP84"
1,"SP89"
1,"SK80"
1,"SK84"
1,"SK85"
1,"SK86"
1,"SK89"
1,"SE80"
1,"SE82"
1,"SE84"
1,"SE86"
1,"SE89"
1,"NZ80"
1,"SU90"
1,"SU92"
1,"SU93"
1,"SU94"
1,"SU96"
1,"SU98"
1,"SP91"
1,"SP92"
1,"SP93"
1,"SP95"
1,"SP98"
1,"SK90"
1,"SK91"
1,"SK96"
1,"SK99"
1,"SE91"
1,"SE93"
1,"SE94"
1,"SE95"
1,"SE97"
1,"SE98"
1,"SE99"
1,"NZ91"
1,"TQ01"
1,"TQ03"
1,"TQ06"
1,"TL00"
1,"TL01"
1,"TL02"
1,"TL04"
1,"TL06"
1,"TL07"
1,"TF02"
1,"TF03"
1,"TF06"
1,"TF07"
1,"TF08"
1,"TA00"
1,"TA01"
1,"TA04"
