species,date,year,km1grid,km2grid,km5grid,km10grid,tp5,tp10
Vespula germanica,1940-09-10,1940,SD4077,SD47D,SD47NW,SD47,1940-1944,1940-1949
Vespula vulgaris,1940-06-01,1940,SD4077,SD47D,SD47NW,SD47,1940-1944,1940-1949
Vespula germanica,1936-11-19,1936,SD4077,SD47D,SD47NW,SD47,1935-1939,1930-1939
Vespula vulgaris,1921-10-08,1921,SD4077,SD47D,SD47NW,SD47,1920-1924,1920-1929
Vespula germanica,1922-08-20,1922,SD4077,SD47D,SD47NW,SD47,1920-1924,1920-1929
Vespula vulgaris,1936-03-19,1936,SD4077,SD47D,SD47NW,SD47,1935-1939,1930-1939
Vespula vulgaris,1944-07-23,1944,SD4077,SD47D,SD47NW,SD47,1940-1944,1940-1949
Vespula germanica,1924-09-20,1924,SD4077,SD47D,SD47NW,SD47,1920-1924,1920-1929
Vespula vulgaris,1926-08-07,1926,SD4077,SD47D,SD47NW,SD47,1925-1929,1920-1929
Vespula vulgaris,1924-10-12,1924,SD4077,SD47D,SD47NW,SD47,1920-1924,1920-1929
Vespula vulgaris,1920-06-09,1920,SD4077,SD47D,SD47NW,SD47,1920-1924,1920-1929
Vespula vulgaris,1934-08-30,1934,SD4077,SD47D,SD47NW,SD47,1930-1934,1930-1939
Vespula germanica,1945-04-06,1945,SD4077,SD47D,SD47NW,SD47,1945-1949,1940-1949
Vespula vulgaris,1921-10-28,1921,SD4077,SD47D,SD47NW,SD47,1920-1924,1920-1929
Vespula germanica,1926-04-03,1926,SD4077,SD47D,SD47NW,SD47,1925-1929,1920-1929
Vespula vulgaris,1940-08-04,1940,SD4077,SD47D,SD47NW,SD47,1940-1944,1940-1949
Vespula vulgaris,1921-10-29,1921,SD4077,SD47D,SD47NW,SD47,1920-1924,1920-1929
Vespula germanica,1940-05-18,1940,SD4077,SD47D,SD47NW,SD47,1940-1944,1940-1949
Vespula vulgaris,1922-09-29,1922,SD4077,SD47D,SD47NW,SD47,1920-1924,1920-1929
Vespula germanica,1940-05-02,1940,SD4077,SD47D,SD47NW,SD47,1940-1944,1940-1949
Vespula vulgaris,1921-07-24,1921,SD4077,SD47D,SD47NW,SD47,1920-1924,1920-1929
Vespula vulgaris,1942-06-23,1942,SD4077,SD47D,SD47NW,SD47,1940-1944,1940-1949
