barcode_no,species,county,town,gridref_original,gridref_1km,gridref_10km,flag,latitude_decimal,longitude_decimal,error_radius,date
10883873,Vespula vulgaris,I. o. W.,Sandown,NA,NA,NA,NA,50.6591,-1.1494,1.6,1927-08-01
10884268,Vespa crabro,Herts.,Hitchin,NA,NA,NA,NA,51.9492,-0.2834,2.6,1884-05-12
10884175,Vespa crabro,Norfolk,Merton,NA,NA,NA,NA,52.5483,0.8048,2,1885-09-29
10884395,Vespa crabro,London,Richmond,NA,NA,NA,NA,51.4427,-0.2837,2.6,1897-09-07
10883920,Vespula vulgaris,I. o. W.,St. Helens,NA,NA,NA,NA,50.698,-1.1138,1.2,1897-07-25
10883922,Vespula vulgaris,Oxon,Oxford,NA,NA,NA,NA,51.74900055,-1.182899952,1.29999995,1898-09-11
10883921,Vespula vulgaris,Oxon,Oxford,NA,NA,NA,NA,51.74900055,-1.182899952,1.29999995,1898-09-04
10883919,Vespula vulgaris,Oxon,Oxford,NA,NA,NA,NA,51.7156,-1.2911,1.3,1898-08-21
10882760,Vespula germanica,Oxon,Oxford,NA,NA,NA,NA,51.74900055,-1.182899952,1.29999995,1898-09-04
10882606,Vespula germanica,Oxon,Oxford,NA,NA,NA,NA,51.7156,-1.2911,1.3,1898-08-21
10882602,Vespula germanica,Oxon,Oxford,NA,NA,NA,NA,51.74900055,-1.182899952,1.29999995,1898-09-04
10882601,Vespula germanica,Oxon,Oxford,NA,NA,NA,NA,51.7156,-1.2911,1.3,1898-08-21
10882600,Vespula germanica,Oxon,Oxford,NA,NA,NA,NA,51.7156,-1.2911,1.3,1898-08-21
10884033,Vespa crabro,Glos.,Little Rissington,NA,NA,NA,NA,51.8767,-1.7247,1,1899-08-14
10883918,Vespula vulgaris,Devon,Dawlish,NA,NA,NA,NA,50.5823,-3.4644,1.5,1899-08-09
10883917,Vespula vulgaris,Devon,Dawlish,NA,NA,NA,NA,50.5823,-3.4644,1.5,1899-08-09
10883310,Vespula vulgaris,Oxon,Oxford,NA,NA,NA,NA,51.761348,-1.255119,0.9,1899-04-27
10883308,Vespula vulgaris,Oxon,Oxford,NA,NA,NA,NA,51.74900055,-1.182899952,1.29999995,1899-05-28
10882605,Vespula germanica,Oxon,Oxford,NA,NA,NA,NA,51.752,-1.2577,4.9,1899-09-16
10882577,Vespula germanica,Devon,Dawlish,NA,NA,NA,NA,50.5823,-3.4644,1.5,1899-08-09
10881574,Vespula germanica,Oxon,Oxford,NA,NA,NA,NA,51.7156,-1.2911,1.3,1899-05-14
10881570,Vespula germanica,Oxon,Oxford,NA,NA,NA,NA,51.74900055,-1.182899952,1.29999995,1899-06-11
10881569,Vespula germanica,Oxon,Oxford,NA,NA,NA,NA,51.74900055,-1.182899952,1.29999995,1899-06-11
10881564,Vespula germanica,Oxon,Oxford,NA,NA,NA,NA,51.761348,-1.255119,0.9,1899-05-08
10881555,Vespula germanica,Oxon,Oxford,NA,NA,NA,NA,51.7156,-1.2911,1.3,1899-05-14
10881469,Vespula germanica,Oxon,Oxford,NA,NA,NA,NA,51.74900055,-1.182899952,1.29999995,1899-07-30
10883916,Vespula vulgaris,Hants.,Basingstoke,NA,NA,NA,NA,51.2665,-1.0924,7.2,1900-08-07
10883913,Vespula vulgaris,Berks.,Crowthorne/Wellington College,NA,NA,NA,NA,51.3644,-0.8064,0.7,1900-08-08
10883912,Vespula vulgaris,Berks.,Crowthorne/Wellington College,NA,NA,NA,NA,51.3644,-0.8064,0.7,1900-08-08
